rssi,signal,mac,location
50,-46,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
50,5,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
51,-45,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
50,-46,78:8a:20:80:45:b6,Living
51,-45,78:8a:20:80:45:b6,Living
51,-45,78:8a:20:80:45:b6,Living
40,-56,78:8a:20:80:45:b6,Living
39,-57,78:8a:20:80:45:b6,Living
40,-56,78:8a:20:80:45:b6,Living
47,-49,78:8a:20:80:45:b6,Living
47,-49,78:8a:20:80:45:b6,Living
47,-49,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
49,-47,78:8a:20:80:45:b6,Living
49,-47,78:8a:20:80:45:b6,Living
49,-47,78:8a:20:80:45:b6,Living
49,-47,78:8a:20:80:45:b6,Living
49,-47,78:8a:20:80:45:b6,Living
49,-47,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
39,-57,78:8a:20:80:45:b6,Living
39,-57,78:8a:20:80:45:b6,Living
36,-60,78:8a:20:80:45:b6,Living
36,-60,78:8a:20:80:45:b6,Living
41,-55,78:8a:20:80:45:b6,Living
41,-55,78:8a:20:80:45:b6,Living
40,-56,78:8a:20:80:45:b6,Living
40,-56,78:8a:20:80:45:b6,Living
42,-54,78:8a:20:80:45:b6,Living
40,-56,78:8a:20:80:45:b6,Living
39,-57,78:8a:20:80:45:b6,Living
40,-56,78:8a:20:80:45:b6,Living
40,-56,78:8a:20:80:45:b6,Living
40,-56,78:8a:20:80:45:b6,Living
40,-56,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
48,-48,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
45,-51,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
